"Sum Sq","Df","F value","Pr(>F)","metric","term","time"
84.7995762958101,1,4747.22040621147,2.90884205238376e-23,"Shannon","(Intercept)","TP1"
0.111833787811646,2,3.13032011947446,0.068129033258691,"Shannon","species","TP1"
0.00778263761676717,2,0.217842457016448,0.806341576428565,"Shannon","treat.rn","TP1"
0.192296555573043,4,2.69126973428532,0.0642631582920296,"Shannon","species:treat.rn","TP1"
0.32153391726396,18,NA,NA,"Shannon","Residuals","TP1"
93.3545803680275,1,65449.0351373158,1.66562511646282e-33,"Shannon","(Intercept)","TP2"
0.00774044160362752,2,2.71333464569706,0.0933378139381616,"Shannon","species","TP2"
0.00111356467903526,2,0.390348997973822,0.68241251752463,"Shannon","treat.rn","TP2"
0.00952454754194944,4,1.66936759900423,0.200776293229609,"Shannon","species:treat.rn","TP2"
0.0256746710337128,18,NA,NA,"Shannon","Residuals","TP2"
0.0383149313951208,1,0.0345733315966802,0.854571909678019,"InvSimpson.c","(Intercept)","TP1"
4.1588030220474,2,1.87633998928197,0.181902057005939,"InvSimpson.c","species","TP1"
2.92765497626124,2,1.32087912739732,0.291562965121168,"InvSimpson.c","treat.rn","TP1"
6.33352275620863,4,1.42875750035537,0.264939358602075,"InvSimpson.c","species:treat.rn","TP1"
19.9479984502968,18,NA,NA,"InvSimpson.c","Residuals","TP1"
28.9735052444539,1,69.0744669391408,1.41740628244844e-07,"InvSimpson.c","(Intercept)","TP2"
0.31955527610599,2,0.380918880342178,0.688611324264252,"InvSimpson.c","species","TP2"
0.811020274376354,2,0.966758986472749,0.399205924047782,"InvSimpson.c","treat.rn","TP2"
0.91526661234494,4,0.545511777238463,0.704541831133864,"InvSimpson.c","species:treat.rn","TP2"
7.55015735205988,18,NA,NA,"InvSimpson.c","Residuals","TP2"
