"treat.rn","species","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric","time"
"control-0","L",6.81884281856903,0.534636676655311,18,5.78324738108985,8.03988042019191,1,24.4840345988999,2.85740741788213e-15,"Shannon","TP1"
"RW-0","L",5.18346115146892,0.406413304622091,18,4.39623539166789,6.11165397551515,1,20.9866294273855,4.18804478844957e-14,"Shannon","TP1"
"BS-0","L",6.45576434452345,0.506169226401113,18,5.47531058154431,7.61178615373911,1,23.7861733494769,4.73787251379833e-15,"Shannon","TP1"
"control-0","R",6.33127662382003,0.496408669800508,18,5.3697291355583,7.46500664658987,1,23.5378302444743,5.69117415424221e-15,"Shannon","TP1"
"RW-0","R",6.22543751831118,0.488110272383966,18,5.27996409095512,7.34021512774829,1,23.3228184096254,6.67997790299722e-15,"Shannon","TP1"
"BS-0","R",6.01981504112536,0.47198828207369,18,5.10557003549459,7.09777221298045,1,22.8944419558091,9.23000538402148e-15,"Shannon","TP1"
"control-0","P",4.76560689192756,0.373651116287276,18,4.04184174798556,5.61897532472827,1,19.9146661401536,1.03700050505448e-13,"Shannon","TP1"
"RW-0","P",5.90476964213582,0.462968058053751,18,5.00799688120501,6.96212584667173,1,22.648336413357,1.11428500048977e-14,"Shannon","TP1"
"BS-0","P",5.50697168906816,0.431778400033006,18,4.67061354043982,6.49309494815158,1,21.7587901247964,2.237351879562e-14,"Shannon","TP1"
"control-0","L",6.50516434905275,0.14642062903244,18,6.20470609414463,6.82017207037759,1,83.1955665690203,9.86915994449175e-25,"Shannon","TP2"
"RW-0","L",6.55344960750317,0.147507451368656,18,6.25076116997193,6.87079550637771,1,83.5241195840288,9.19485326148783e-25,"Shannon","TP2"
"BS-0","L",6.60017036791607,0.148559059408279,18,6.29532400824968,6.91977868469223,1,83.8397308078147,8.59276983662692e-25,"Shannon","TP2"
"control-0","R",6.05944916043762,0.136388307820472,18,5.77957744271312,6.35287345690311,1,80.0421846665741,1.97500824292192e-24,"Shannon","TP2"
"RW-0","R",6.44842039441893,0.145143415254977,18,6.1505830094337,6.76068033215384,1,82.8063257232521,1.07361722358334e-24,"Shannon","TP2"
"BS-0","R",6.40920710888849,0.144260788218101,18,6.11318089341528,6.71956817258152,1,82.535331683504,1.13870327295544e-24,"Shannon","TP2"
"control-0","P",6.54806343057468,0.147386217319578,18,6.24562376789888,6.86514850785735,1,83.4875899612946,9.267361738705e-25,"Shannon","TP2"
"RW-0","P",6.25036308379967,0.140685468545365,18,5.96167350058045,6.55303224430557,1,81.4203680156222,1.45366336645261e-24,"Shannon","TP2"
"BS-0","P",6.42441631694585,0.144603122660607,18,6.12768762389233,6.73551387517094,1,82.6406353549209,1.11293052621362e-24,"Shannon","TP2"
"control-0","L",2.91617983313285,1.78515044181853,18,0.805886119568911,10.5524895052415,1,1.74837525809458,0.0974333800671073,"InvSimpson.c","TP1"
"RW-0","L",0.309430314403536,0.189418929585044,18,0.0855110485706089,1.11970465889925,1,-1.91622178842882,0.0713562152038182,"InvSimpson.c","TP1"
"BS-0","L",1.93560579695941,1.18488836126286,18,0.534904544295861,7.00418390753213,1,1.07884717355986,0.294901259499992,"InvSimpson.c","TP1"
"control-0","R",1.27480651440466,0.780377597624972,18,0.352292702741537,4.61301536058453,1,0.396623251578059,0.696308146642235,"InvSimpson.c","TP1"
"RW-0","R",1.18202209611784,0.723579267351683,18,0.326651734389701,4.27726562763005,1,0.273177466696481,0.787826420357433,"InvSimpson.c","TP1"
"BS-0","R",1.57325915910918,0.963076505457352,18,0.434770072958318,5.69299621954021,1,0.740254159644051,0.468692256247888,"InvSimpson.c","TP1"
"control-0","P",0.396971858568715,0.243007814765715,18,0.109703148977722,1.43648252546973,1,-1.50924481799765,0.148589789666264,"InvSimpson.c","TP1"
"RW-0","P",0.635896129677573,0.389266205035475,18,0.175729856770943,2.30105398803113,1,-0.739552835700515,0.469107417833952,"InvSimpson.c","TP1"
"BS-0","P",0.67925678941654,0.415809595813747,18,0.187712572453276,2.45795888862645,1,-0.631795575298228,0.535462957540491,"InvSimpson.c","TP1"
"control-0","L",1.93466523312395,0.732850439205542,18,0.872935029675986,4.28775273876666,1,1.742172602288,0.0985386589606386,"InvSimpson.c","TP2"
"RW-0","L",3.14729730596316,1.19219499761267,18,1.42008344396815,6.97528048383131,1,3.0267826334158,0.00725023529045122,"InvSimpson.c","TP2"
"BS-0","L",3.60141731147112,1.36421547939449,18,1.6249856945991,7.9817358974128,1,3.38259973297997,0.00331686502054706,"InvSimpson.c","TP2"
"control-0","R",1.55696371519025,0.58977725084863,18,0.702513356654174,3.45066180942716,1,1.16879102965869,0.257734455502639,"InvSimpson.c","TP2"
"RW-0","R",3.36165321077264,1.27339293113436,18,1.51680238785693,7.45035239921047,1,3.20072366054186,0.00495460171967957,"InvSimpson.c","TP2"
"BS-0","R",3.01011952394903,1.14023210704272,18,1.35818783062731,6.67125661424469,1,2.90913652679451,0.00935882235360964,"InvSimpson.c","TP2"
"control-0","P",3.50750417183933,1.3286412185622,18,1.58261140269172,7.77359843013006,1,3.31284585152272,0.00386997509277267,"InvSimpson.c","TP2"
"RW-0","P",3.11267003290437,1.17907820002146,18,1.40445936641838,6.89853687860608,1,2.99757669774003,0.00772601561310048,"InvSimpson.c","TP2"
"BS-0","P",2.9231595427021,1.10729169990716,18,1.31895085437389,6.47852926722325,1,2.83174806191506,0.0110572497689796,"InvSimpson.c","TP2"
