"Sum Sq","Df","F value","Pr(>F)","trait","term","amend"
0.0143144908943951,2,0.0732079483766826,0.930224815385003,"plant_height4","spikeFac","RW"
0.586595767746759,6,NA,NA,"plant_height4","Residuals","RW"
0.00134530968513593,2,0.519061650840094,0.619559667598716,"chlorophyll_content4_mean","spikeFac","RW"
0.00777543293532798,6,NA,NA,"chlorophyll_content4_mean","Residuals","RW"
0.0173123086107861,2,0.11174650846653,0.896088969566084,"leaf_number2","spikeFac","RW"
0.464774484188153,6,NA,NA,"leaf_number2","Residuals","RW"
0.0374584942879906,2,0.147734153058596,0.865704401417691,"wet_shoot_weight","spikeFac","RW"
0.760660148905448,6,NA,NA,"wet_shoot_weight","Residuals","RW"
0.0257713955832377,2,0.0618483177863479,0.940616835358717,"dry_shoot_weight","spikeFac","RW"
1.25006127113742,6,NA,NA,"dry_shoot_weight","Residuals","RW"
1.0990934986064,2,1.26763778578234,0.347377038999338,"wet_root_weight","spikeFac","RW"
2.60112197096131,6,NA,NA,"wet_root_weight","Residuals","RW"
0.173263919797585,2,0.778337494122455,0.500566198850182,"dry_root_weight","spikeFac","RW"
0.667823101569581,6,NA,NA,"dry_root_weight","Residuals","RW"
0.0782140996444552,2,0.256145286371849,0.782082270447399,"dry_total_weight","spikeFac","RW"
0.916051598125966,6,NA,NA,"dry_total_weight","Residuals","RW"
0.117752591143562,2,0.667679897017648,0.547254686703445,"shoot_root_ratio","spikeFac","RW"
0.529082536419917,6,NA,NA,"shoot_root_ratio","Residuals","RW"
0.00585339195336124,2,0.123078308647014,0.886370191391269,"shoot_moisture","spikeFac","RW"
0.142674822664698,6,NA,NA,"shoot_moisture","Residuals","RW"
0.186254766732666,2,1.10449847257214,0.390466220748276,"plant_height4","spikeFac","BS"
0.505898662672442,6,NA,NA,"plant_height4","Residuals","BS"
0.00247952097160441,2,0.527461400790697,0.615144228403519,"chlorophyll_content4_mean","spikeFac","BS"
0.0141025730103897,6,NA,NA,"chlorophyll_content4_mean","Residuals","BS"
0.142507371506175,2,2.12955554493984,0.200043550218911,"leaf_number2","spikeFac","BS"
0.200756498478936,6,NA,NA,"leaf_number2","Residuals","BS"
0.263195215395542,2,0.92166031356773,0.447665725045954,"wet_shoot_weight","spikeFac","BS"
0.856699192276334,6,NA,NA,"wet_shoot_weight","Residuals","BS"
0.154030331244267,2,0.630702069538236,0.564146536081889,"dry_shoot_weight","spikeFac","BS"
0.732661292947903,6,NA,NA,"dry_shoot_weight","Residuals","BS"
1.53528053671142,2,2.46916852601407,0.165044040265556,"wet_root_weight","spikeFac","BS"
1.86534113067178,6,NA,NA,"wet_root_weight","Residuals","BS"
0.231126681675866,2,1.72039258445604,0.256702090746528,"dry_root_weight","spikeFac","BS"
0.403035941501011,6,NA,NA,"dry_root_weight","Residuals","BS"
0.0621312247054064,2,0.346612406785697,0.720356557319993,"dry_total_weight","spikeFac","BS"
0.537758229270375,6,NA,NA,"dry_total_weight","Residuals","BS"
0.487017651007482,2,12.3374637149901,0.0074834716765713,"shoot_root_ratio","spikeFac","BS"
0.118424093215144,6,NA,NA,"shoot_root_ratio","Residuals","BS"
0.057251692793287,2,1.0207752741633,0.415369269273678,"shoot_moisture","spikeFac","BS"
0.168259442334791,6,NA,NA,"shoot_moisture","Residuals","BS"
