"amend","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait","rate","asymp.LCL","asymp.UCL","z.ratio"
"control",14.495018903995,1.1424536932071,6,11.9525763695706,17.5782665201846,1,33.9242239887968,4.36833319860197e-08,"plant_height4",NA,NA,NA,NA
"RW",11.927970141058,0.940126648359176,6,9.8357908319567,14.4651786639983,1,31.4511657846129,6.86418001924193e-08,"plant_height4",NA,NA,NA,NA
"BS",16.0105365431109,1.26190222483001,6,13.2022705190533,19.4161511861423,1,35.1859060032196,3.51220144744723e-08,"plant_height4",NA,NA,NA,NA
"control",0.718291621570575,0.013904670670872,6,0.685061344526817,0.753133799973572,1,-17.0926787575533,2.56603116685798e-06,"chlorophyll_content4_mean",NA,NA,NA,NA
"RW",0.697651879784772,0.0135051270821052,6,0.665376457728956,0.731492886039999,1,-18.5987974088226,1.55878377775423e-06,"chlorophyll_content4_mean",NA,NA,NA,NA
"BS",0.704734240979821,0.0136422272473194,6,0.672131168123734,0.738918791395751,1,-18.0770212297304,1.8441475539472e-06,"chlorophyll_content4_mean",NA,NA,NA,NA
"control",NA,1.73204997485353,Inf,NA,NA,1,NA,3.43429339499333e-30,"leaf_num2",9.00000000000416,6.17204060873013,13.1236984872561,11.4171192997543
"RW",NA,1.64429426027587,Inf,NA,NA,1,NA,5.39338303963616e-25,"leaf_num2",8.11111111111112,5.45159699836853,12.0680460196304,10.3256825570768
"BS",NA,1.67773877716117,Inf,NA,NA,1,NA,6.71701768536039e-27,"leaf_num2",8.44444444447851,5.72077289695818,12.4648615248824,10.7384394196687
"control",182.796713684035,20.723825301747,6,138.513267855486,241.237818232296,1,45.94102495538,7.12628670021314e-09,"dry_total_weight",NA,NA,NA,NA
"RW",157.066941266289,17.8068182183442,6,119.016665389644,207.282097494344,1,44.602916070303,8.50532751910298e-09,"dry_total_weight",NA,NA,NA,NA
"BS",160.838744923728,18.2344309390213,6,121.87473017523,212.259767315553,1,44.8122307163096,8.27033558535339e-09,"dry_total_weight",NA,NA,NA,NA
"control",2.6673890875964,0.240370119205817,6,2.13955566623677,3.32544025701503,1,10.8872757300323,3.56008088295332e-05,"shoot_root_ratio",NA,NA,NA,NA
"RW",1.9557529028372,0.176241464201128,6,1.56874084267735,2.43824174962393,1,7.44359802383275,0.000302858607803296,"shoot_root_ratio",NA,NA,NA,NA
"BS",3.82219437076024,0.344434683638646,6,3.06584354770207,4.76513872301839,1,14.8791421569718,5.7988379789973e-06,"shoot_root_ratio",NA,NA,NA,NA
"control",7.67249043649741,0.513228059543413,6,6.51405720030998,9.03693469184504,1,30.4616686435584,8.30679027047498e-08,"shoot_moisture",NA,NA,NA,NA
"RW",7.79204265410656,0.521225143823347,6,6.61555879100931,9.17774758587744,1,30.6928141394706,7.94044879313392e-08,"shoot_moisture",NA,NA,NA,NA
"BS",7.65467239618417,0.512036175587282,6,6.49892942207962,9.0159479642655,1,30.4269106802366,8.36356584188025e-08,"shoot_moisture",NA,NA,NA,NA
