"contrast","species","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait"
"RW / control","lettuce",1.13209284008329,0.459065469812454,18,0.425279160271732,3.01363038280303,1,0.305961770395065,0.922101337174115,"wet_shoot_weight"
"BS / control","lettuce",1.07106754900677,0.434319616003834,18,0.402354552301901,2.85118109879017,1,0.169310943972809,0.971104706929665,"wet_shoot_weight"
"RW / control","pea",1.59411864645121,0.646417678355848,18,0.598842617259556,4.24354277020669,1,1.14998559502,0.431645530605524,"wet_shoot_weight"
"BS / control","pea",0.63677137675402,0.258211818750838,18,0.239207940199587,1.69508497884683,1,-1.11305253151983,0.452520524773117,"wet_shoot_weight"
"RW / control","radish",0.997145260960602,0.404344009154287,18,0.374585090759043,2.65440001747369,1,-0.00705008686751321,0.999843094873411,"wet_shoot_weight"
"BS / control","radish",1.85647956229955,0.752805452246797,18,0.697400461660281,4.94194735264572,1,1.52572016961599,0.251333398537666,"wet_shoot_weight"
"RW / control","lettuce",1.48335168583586,0.517453236237625,18,0.638926375085561,3.44379620199188,1,1.13032778430388,0.442696249800445,"dry_shoot_weight"
"BS / control","lettuce",1.19241102391962,0.41596133212667,18,0.513609051986697,2.76833915692332,1,0.504463491143376,0.823196690473299,"dry_shoot_weight"
"RW / control","pea",1.47959000806629,0.516141010449137,18,0.637306101778492,3.43506297187546,1,1.12304895162329,0.446822997682423,"dry_shoot_weight"
"BS / control","pea",0.81537950464713,0.284437444923075,18,0.351209680211263,1.8930108537973,1,-0.585085698975503,0.776591619770844,"dry_shoot_weight"
"RW / control","radish",1.00908451270401,0.352009608862058,18,0.434644539129404,2.34272252866366,1,0.0259244414620973,0.998710984279856,"dry_shoot_weight"
"BS / control","radish",1.09422395839047,0.381709700972791,18,0.471316784780031,2.54038495928914,1,0.258127660410195,0.941363771256271,"dry_shoot_weight"
"RW / control","lettuce",0.70287213098312,0.358095415103567,18,0.205419986667194,2.40497159272599,1,-0.692047013954785,0.7113716685686,"wet_root_weight"
"BS / control","lettuce",1.26873167201766,0.646386411865173,18,0.37079695105506,4.34113616900184,1,0.46718280549976,0.843709357981565,"wet_root_weight"
"RW / control","pea",1.4062475857107,0.716447260811307,18,0.410987073713416,4.81166537538384,1,0.669169667843875,0.725553862006348,"wet_root_weight"
"BS / control","pea",0.400543900033387,0.204066896135198,18,0.117062149682045,1.3705148614622,1,-1.79583460423965,0.160537879013459,"wet_root_weight"
"RW / control","radish",1.33761291905923,0.681479649546542,18,0.390928044927152,4.57682262618829,1,0.570954251402695,0.784952882246364,"wet_root_weight"
"BS / control","radish",1.00729123503397,0.513189180562824,18,0.294388897993777,3.44658252770694,1,0.0142593647662034,0.999511964779545,"wet_root_weight"
"RW / control","lettuce",0.758214826475191,0.414483385594697,18,0.202567249878912,2.83801909454985,1,-0.506329488488685,0.822150970549719,"dry_root_weight"
"BS / control","lettuce",0.50363280210132,0.275314358968592,18,0.134552251035166,1.88511152657071,1,-1.25473182946993,0.375252878288645,"dry_root_weight"
"RW / control","pea",1.413486609443,0.772692243566768,18,0.377631886396388,5.2907195262041,1,0.633046813994588,0.747718615086933,"dry_root_weight"
"BS / control","pea",0.502683207075423,0.274795256271659,18,0.134298554000793,1.88155716608937,1,-1.2581842152543,0.373469714249495,"dry_root_weight"
"RW / control","radish",1.66372481278794,0.909486690346079,18,0.444486375251313,6.22736805176815,1,0.931221993965176,0.561284299034497,"dry_root_weight"
"BS / control","radish",0.800691151258569,0.437703362689686,18,0.213915369166334,2.99700915461229,1,-0.406616974964761,0.875309672992619,"dry_root_weight"
"RW / control","lettuce",1.95637388513188,0.819662037706883,18,0.711411626247237,5.38000594482252,1,1.60176777093786,0.22254685340569,"shoot_root_ratio"
"BS / control","lettuce",2.36761985904114,0.991961778331613,18,0.860956234928565,6.51092769819024,1,2.05715229472799,0.100116732090664,"shoot_root_ratio"
"RW / control","pea",1.04676620081271,0.438563673171809,18,0.380643828299014,2.87859515300781,1,0.109090386153012,0.986165561312489,"shoot_root_ratio"
"BS / control","pea",1.62205439364277,0.679592188215606,18,0.589840399533393,4.4606311436402,1,1.15448229735559,0.429137408329903,"shoot_root_ratio"
"RW / control","radish",0.60652128582074,0.25411424514845,18,0.220554106542989,1.66792664131121,1,-1.19343965369852,0.407726388908586,"shoot_root_ratio"
"BS / control","radish",1.3665992894645,0.572564153940207,18,0.49694725038753,3.75813251106325,1,0.745459952647672,0.67794900003491,"shoot_root_ratio"
"RW / control","lettuce",1.40282510460419,0.499173039120626,18,0.594123577817249,3.31230462412837,1,0.951252604696279,0.548911748118937,"dry_total_weight"
"BS / control","lettuce",1.11877755138525,0.398099227474602,18,0.473823942435196,2.64162085826797,1,0.315418365939419,0.918050629719558,"dry_total_weight"
"RW / control","pea",1.4718368135776,0.523729759976349,18,0.623351372010548,3.47525280776252,1,1.08621160859029,0.467985465742969,"dry_total_weight"
"BS / control","pea",0.802627413208035,0.28560222070279,18,0.339928241107366,1.89513752177345,1,-0.617885280710166,0.756921876239971,"dry_total_weight"
"RW / control","radish",1.14934936601504,0.408977722284895,18,0.486771697524981,2.71380602421196,1,0.391182309569421,0.882980157541618,"dry_total_weight"
"BS / control","radish",1.03125457660971,0.366955566608973,18,0.436756268963866,2.43496448099399,1,0.0864900095210907,0.990607899471196,"dry_total_weight"
"RW / control","lettuce",1.0432742530335,0.222160130707798,18,0.623885391885258,1.74458511322668,1,0.198943716449578,0.962117460476824,"per_plant_weight"
"BS / control","lettuce",0.776389810545249,0.165328398826493,18,0.46428660517532,1.29829534429681,1,-1.1885719018402,0.41036990586022,"per_plant_weight"
"RW / control","pea",0.985296060152795,0.209813959151155,18,0.58921402193531,1.64763276163038,1,-0.0695630700946761,0.993460619321488,"per_plant_weight"
"BS / control","pea",1.09961032830912,0.234156621381659,18,0.657574763877723,1.83879148128157,1,0.445917159322747,0.855063074356292,"per_plant_weight"
"RW / control","radish",1.14934936601504,0.244748305290178,18,0.687319060682635,1.92196614458382,1,0.653670920320228,0.735101538728991,"per_plant_weight"
"BS / control","radish",1.03125457660971,0.219600599618431,18,0.616697540259294,1.72448555791438,1,0.144525973540026,0.977844204411644,"per_plant_weight"
"RW / control","lettuce",0.753533635654,0.174829263032011,18,0.430343133664399,1.31944231392046,1,-1.21968237622504,0.393636073042731,"shoot_moisture"
"BS / control","lettuce",0.893449129929145,0.207291414147074,18,0.510248886248769,1.56443525754599,1,-0.485602514787346,0.833667029287697,"shoot_moisture"
"RW / control","pea",1.08768460083141,0.25235648175092,18,0.621176782844008,1.90454283476155,1,0.362270127894942,0.896888329124419,"shoot_moisture"
"BS / control","pea",0.755861790109452,0.175369424092397,18,0.431672742903599,1.32351892756651,1,-1.20638617388405,0.400740849383605,"shoot_moisture"
"RW / control","radish",0.990153120886487,0.229727954032454,18,0.565476545025164,1.73376457684486,1,-0.0426514862994179,0.99708566662019,"shoot_moisture"
"BS / control","radish",1.73407467359565,0.402327093155013,18,0.990330217171457,3.03637607079626,1,2.37260412527564,0.0543719450664785,"shoot_moisture"
"RW / control","lettuce",1.55799794973732,0.687082017036882,18,0.537195180879203,4.51857666968076,1,1.00543867492013,0.515855559683998,"germination_perc"
"BS / control","lettuce",0.615104767862905,0.271263145541047,18,0.212087132134855,1.78395488514175,1,-1.10194827833042,0.458889441038674,"germination_perc"
"RW / control","pea",1.23813612094902,0.546021940203003,18,0.426907338073469,3.59089881405333,1,0.484366418515444,0.834346735813993,"germination_perc"
"BS / control","pea",0.41513303010699,0.183074977545787,18,0.143137199400586,1.20398773629425,1,-1.9935373213495,0.11266101162017,"germination_perc"
"RW / control","radish",1.0367023044138,0.457188990847842,18,0.35745328293362,3.00669127768637,1,0.0817336870983402,0.991451792451173,"germination_perc"
"BS / control","radish",0.927361723032072,0.408969449087594,18,0.319752826779172,2.68957673965756,1,-0.171000093336998,0.970619110749503,"germination_perc"
"RW / control","lettuce",1.33985538821629,0.420325984641654,18,0.628206563202038,2.85767861478845,1,0.93258653896741,0.560439165690986,"survival_perc.corr"
"BS / control","lettuce",1.0614241177178,0.332979320996777,18,0.497660869191964,2.2638331189315,1,0.190021104470942,0.96492674641274,"survival_perc.corr"
"RW / control","pea",1.48111438133237,0.464640338185471,18,0.694437461974607,3.15895948981764,1,1.25209528155517,0.376618027861095,"survival_perc.corr"
"BS / control","pea",0.423589040055988,0.13288410220298,18,0.198604578825388,0.903441783249645,1,-2.73817104797685,0.0257026588122787,"survival_perc.corr"
"RW / control","radish",1,0.313709963282845,18,0.468861467235171,2.13282615416639,1,-5.08732837554074e-16,1,"survival_perc.corr"
"BS / control","radish",1,0.313709963282845,18,0.468861467235171,2.13282615416639,1,-3.53901104385443e-16,1,"survival_perc.corr"
